아이돌이름,아이돌검색수,방송일자,채널명,프로그램명,방송회차,프로그램장르명,고정출연자명,출연자명,남성시청률,여성시청률
비투비,524758,20200907,국방TV,쇼챔피언,14,음악쇼,"문빈,윤산하,강민","소녀시대-태티서,에이핑크,비투비,가비엔제이,디셈버,포커즈,EXO-M,리듬파워,류키,헬로비너스",0.00781,0.00317
비투비,524758,20200912,국방TV,쇼챔피언,14,음악쇼,"문빈,윤산하,강민","소녀시대-태티서,에이핑크,비투비,가비엔제이,디셈버,포커즈,EXO-M,리듬파워,류키,헬로비너스",0.01345,0.02648
비투비,524758,20200921,국방TV,쇼챔피언,16,음악쇼,"문빈,윤산하,강민","FT아일랜드,CNBLUE,샤이니,소녀시대-태티서,인피니트,비투비,B.A.P,포미닛,씨스타,EXO-K,EXO-M",0.20508,0.04446
비투비,524758,20200926,국방TV,쇼챔피언,16,음악쇼,"문빈,윤산하,강민","FT아일랜드,CNBLUE,샤이니,소녀시대-태티서,인피니트,비투비,B.A.P,포미닛,씨스타,EXO-K,EXO-M",0.00305,0.00523
샤이니,292880,20200921,국방TV,쇼챔피언,16,음악쇼,"문빈,윤산하,강민","FT아일랜드,CNBLUE,샤이니,소녀시대-태티서,인피니트,비투비,B.A.P,포미닛,씨스타,EXO-K,EXO-M",0.20508,0.04446
샤이니,292880,20200926,국방TV,쇼챔피언,16,음악쇼,"문빈,윤산하,강민","FT아일랜드,CNBLUE,샤이니,소녀시대-태티서,인피니트,비투비,B.A.P,포미닛,씨스타,EXO-K,EXO-M",0.00305,0.00523
씨스타,147036,20200921,국방TV,쇼챔피언,16,음악쇼,"문빈,윤산하,강민","FT아일랜드,CNBLUE,샤이니,소녀시대-태티서,인피니트,비투비,B.A.P,포미닛,씨스타,EXO-K,EXO-M",0.20508,0.04446
씨스타,147036,20200926,국방TV,쇼챔피언,16,음악쇼,"문빈,윤산하,강민","FT아일랜드,CNBLUE,샤이니,소녀시대-태티서,인피니트,비투비,B.A.P,포미닛,씨스타,EXO-K,EXO-M",0.00305,0.00523
업텐션,699336,20200925,KBS2,뮤직뱅크,1046,음악쇼,"수빈,아린","BDC,CRAVITY,GHOST9,H&D,NTX,StrayKids,VAV,썸,더보이즈,루나솔라,문빈&산하,비오브유,빈시트,시그니처,업텐션,EVERGLOW,유아,프로미스나인",2.03601,2.10831
업텐션,699336,20200926,MBC,쇼음악중심,696,음악쇼,"찬희,현진,김민주","더보이즈,업텐션,에버글로우,H&D,BDC,GHOST9,StrayKids,유아,문빈&산하,TREASURE,크나큰,A.C.E,비오브유,프로미스나인,VAV,루나솔라,금나라",3.17297,3.29289
업텐션,699336,20200927,SBS,생방송SBS인기가요,1066,음악쇼,"민혁,나은,재현","GHOST9,더보이즈,루나솔라,문빈&산하,VAV,BDC,빈시트,StrayKids,시그니처,업텐션,EVERGLOW,H&D,NTX,유아,CRAVITY,TREASURE,프로미스나인",5.80304,5.22679
업텐션,699336,20200928,MBC M,쇼음악중심,696,음악쇼,"찬희,현진,김민주","더보이즈,업텐션,에버글로우,H&D,BDC,GHOST9,StrayKids,유아,문빈&산하,TREASURE,크나큰,A.C.E,비오브유,프로미스나인,VAV,루나솔라,금나라",0.02269,0.02119
원어스,262238,20200902,MBC every1,쇼챔피언,369,음악쇼,"문빈,윤산하,강민","ATEEZ,온앤오프,KARD,드림캐쳐,에릭남,원어스,전지윤,CRAVITY,다섯장,체리블렛,OnlyOneOf,DONGKIZ,써드아이,ENOi,SevenO'clock,NTX,김장훈",0.19155,0.59275
원어스,262238,20200902,MBC M,쇼챔피언,369,음악쇼,"문빈,윤산하,강민","ATEEZ,온앤오프,KARD,드림캐쳐,에릭남,원어스,전지윤,CRAVITY,다섯장,체리블렛,OnlyOneOf,DONGKIZ,써드아이,ENOi,SevenO'clock,NTX,김장훈",0.35236,0.17808
원어스,262238,20200903,MBC M,쇼챔피언,369,음악쇼,"문빈,윤산하,강민","ATEEZ,온앤오프,KARD,드림캐쳐,에릭남,원어스,전지윤,CRAVITY,다섯장,체리블렛,OnlyOneOf,DONGKIZ,써드아이,ENOi,SevenO'clock,NTX,김장훈",0.00579,0.00286
원어스,262238,20200904,KBS2,뮤직뱅크,1043,음악쇼,"수빈,아린","에이티즈,CLC,CRAVITY,DAY6,동키즈,ENOi,ITZY,카드,NTX,온리원오브,김장훈,러블리즈,루나솔라,마카마카,브레이브걸스,온앤오프,원어스,조정민,체리블렛",2.007,3.14645
원어스,262238,20200905,MBC,쇼음악중심,693,음악쇼,"찬희,현진,김민주","러블리즈,DAY6(EvenofDay),CLC,A.C.E,이은상,ITZY,온앤오프,드림캐쳐,KARD,에이티즈,김장훈,원어스,체리블렛,DONGKIZ,OnlyOneOf,MCND,CRAVITY,루나솔라",5.0172,7.15656
원어스,262238,20200905,MBC M,쇼챔피언,369,음악쇼,"문빈,윤산하,강민","ATEEZ,온앤오프,KARD,드림캐쳐,에릭남,원어스,전지윤,CRAVITY,다섯장,체리블렛,OnlyOneOf,DONGKIZ,써드아이,ENOi,SevenO'clock,NTX,김장훈",0.01145,0.00464
원어스,262238,20200906,SBS,생방송SBS인기가요,1063,음악쇼,"민혁,나은,재현","김장훈,DAY6,드림캐쳐,러블리즈,루나솔라,브레이브걸스,CLC,에이티즈,MCND,온리원오브,온앤오프,원어스,이은상,ITZY,체리블렛,카드,CRAVITY",8.61287,9.77869